source,paper_id,title,abstract,authors,year,publication_date,doi,url,pdf_url,venue,journal,citation_count,reference_count,categories,similarity_score,sources
core,321969203,Agentic Edge Intelligence: A Research Agenda,"Abstract

Agentic AI is rapidly transforming autonomous decision-making, yet its deployment across the edge-cloud continuum remains poorly understood. This paper introduces the concept of agentic edge intelligence, an emerging paradigm in which autonomous agents operate across the computing continuum to negotiate computational resources, data, and services within dynamic digital marketplaces. We position this concept at the intersection of edge intelligence, multi-agent systems, and computational economics, where distributed decision-making replaces centralized orchestration. The paper outlines key research challenges, including scalability, interoperability, market stability, and ethical governance, and proposes a research agenda addressing theoretical, architectural, and societal dimensions. By integrating mechanism design with trustworthy AI and edge computing, the real-time AI economy envisions a self-organizing infrastructure for efficient, transparent, and equitable resource exchange in future digital ecosystems.Abstract

Agentic AI is rapidly transforming autonomous decision-making, yet its deployment across the edge-cloud continuum remains poorly understood. This paper introduces the concept of agentic edge intelligence, an emerging paradigm in which autonomous agents operate across the computing continuum to negotiate computational resources, data, and services within dynamic digital marketplaces. We position this concept at the intersection of edge intelligence, multi-agent systems, and computational economics, where distributed decision-making replaces centralized orchestration. The paper outlines key research challenges, including scalability, interoperability, market stability, and ethical governance, and proposes a research agenda addressing theoretical, architectural, and societal dimensions. By integrating mechanism design with trustworthy AI and edge computing, the real-time AI economy envisions a self-organizing infrastructure for efficient, transparent, and equitable resource exchange in future digital ecosystems","['Dustdar, Schahram', 'Sigg, Stephan', 'Farahani, Reza', 'Murturi, Ilir', 'Lovén, Lauri']",2025,2025-12-31T00:00:00+00:00,10.1145/3773274.3777421,https://core.ac.uk/download/699397807.pdf,https://core.ac.uk/download/699397807.pdf,,,0.0,,A4,0.4699,
openalex,https://openalex.org/W4390608362,"Transformative Potential of AI in Healthcare: Definitions, Applications, and Navigating the Ethical Landscape and Public Perspectives","Artificial intelligence (AI) has emerged as a crucial tool in healthcare with the primary aim of improving patient outcomes and optimizing healthcare delivery. By harnessing machine learning algorithms, natural language processing, and computer vision, AI enables the analysis of complex medical data. The integration of AI into healthcare systems aims to support clinicians, personalize patient care, and enhance population health, all while addressing the challenges posed by rising costs and limited resources. As a subdivision of computer science, AI focuses on the development of advanced algorithms capable of performing complex tasks that were once reliant on human intelligence. The ultimate goal is to achieve human-level performance with improved efficiency and accuracy in problem-solving and task execution, thereby reducing the need for human intervention. Various industries, including engineering, media/entertainment, finance, and education, have already reaped significant benefits by incorporating AI systems into their operations. Notably, the healthcare sector has witnessed rapid growth in the utilization of AI technology. Nevertheless, there remains untapped potential for AI to truly revolutionize the industry. It is important to note that despite concerns about job displacement, AI in healthcare should not be viewed as a threat to human workers. Instead, AI systems are designed to augment and support healthcare professionals, freeing up their time to focus on more complex and critical tasks. By automating routine and repetitive tasks, AI can alleviate the burden on healthcare professionals, allowing them to dedicate more attention to patient care and meaningful interactions. However, legal and ethical challenges must be addressed when embracing AI technology in medicine, alongside comprehensive public education to ensure widespread acceptance.","['Molly Bekbolatova', 'Jonathan Mayer', 'Chi Wei Ong', 'Milan Toma']",2024,2024-01-05,https://doi.org/10.3390/healthcare12020125,https://openalex.org/W4390608362,https://www.mdpi.com/2227-9032/12/2/125/pdf?version=1704440667,Healthcare,Healthcare,373.0,161.0,"['Transformative learning', 'Health care', 'Computer science', 'Artificial intelligence', 'Knowledge management', 'Psychology', 'Political science', 'Law', 'Pedagogy']",0.4691,
openalex,https://openalex.org/W4292731246,The uselessness of AI ethics,"Abstract As the awareness of AI’s power and danger has risen, the dominant response has been a turn to ethical principles. A flood of AI guidelines and codes of ethics have been released in both the public and private sector in the last several years. However, these are meaningless principles which are contested or incoherent, making them difficult to apply; they are isolated principles situated in an industry and education system which largely ignores ethics; and they are toothless principles which lack consequences and adhere to corporate agendas. For these reasons, I argue that AI ethical principles are useless, failing to mitigate the racial, social, and environmental damages of AI technologies in any meaningful sense. The result is a gap between high-minded principles and technological practice. Even when this gap is acknowledged and principles seek to be “operationalized,” the translation from complex social concepts to technical rulesets is non-trivial. In a zero-sum world, the dominant turn to AI principles is not just fruitless but a dangerous distraction, diverting immense financial and human resources away from potentially more effective activity. I conclude by highlighting alternative approaches to AI justice that go beyond ethical principles: thinking more broadly about systems of oppression and more narrowly about accuracy and auditing.",['Luke Munn'],2022,2022-08-23,https://doi.org/10.1007/s43681-022-00209-w,https://openalex.org/W4292731246,https://link.springer.com/content/pdf/10.1007/s43681-022-00209-w.pdf,AI and Ethics,AI and Ethics,326.0,57.0,"['Operationalization', 'Oppression', 'Engineering ethics', 'Sociology', 'Environmental ethics', 'Political science', 'Ethics of technology', 'Power (physics)', 'Law and economics', 'Public relations', 'Epistemology', 'Information ethics', 'Law', 'Meta-ethics', 'Engineering', 'Quantum mechanics', 'Philosophy', 'Politics', 'Physics']",0.4676,
openalex,https://openalex.org/W4377020544,Artificial Intelligence: Implications for the Agri-Food Sector,"Artificial intelligence (AI) involves the development of algorithms and computational models that enable machines to process and analyze large amounts of data, identify patterns and relationships, and make predictions or decisions based on that analysis. AI has become increasingly pervasive across a wide range of industries and sectors, with healthcare, finance, transportation, manufacturing, retail, education, and agriculture are a few examples to mention. As AI technology continues to advance, it is expected to have an even greater impact on industries in the future. For instance, AI is being increasingly used in the agri-food sector to improve productivity, efficiency, and sustainability. It has the potential to revolutionize the agri-food sector in several ways, including but not limited to precision agriculture, crop monitoring, predictive analytics, supply chain optimization, food processing, quality control, personalized nutrition, and food safety. This review emphasizes how recent developments in AI technology have transformed the agri-food sector by improving efficiency, reducing waste, and enhancing food safety and quality, providing particular examples. Furthermore, the challenges, limitations, and future prospects of AI in the field of food and agriculture are summarized.","['Akriti Taneja', 'Gayathri Nair', 'Manisha Joshi', 'Somesh Sharma', 'Somesh Sharma', 'Surabhi Sharma', 'Surabhi Sharma', 'Anet \xadRežek \xadJambrak', 'Elena Roselló‐Soto', 'Francisco J. Barba', 'Juan Manuel Castagnini', 'Noppol Leksawasdi', 'Yuthana Phimolsiripol']",2023,2023-05-18,https://doi.org/10.3390/agronomy13051397,https://openalex.org/W4377020544,https://www.mdpi.com/2073-4395/13/5/1397/pdf?version=1684413976,Agronomy,Agronomy,199.0,127.0,"['Agriculture', 'Productivity', 'Food industry', 'Sustainability', 'Supply chain', 'Quality (philosophy)', 'Food safety', 'Analytics', 'Business', 'Computer science', 'Data science', 'Marketing', 'Economics', 'Medicine', 'Philosophy', 'Macroeconomics', 'Political science', 'Epistemology', 'Biology', 'Pathology', 'Ecology', 'Law']",0.4674,
arxiv,2509.14528v2,Why Johnny Can't Use Agents: Industry Aspirations vs. User Realities with AI Agents,"There is growing imprecision about what ""AI agents"" are, what they can do, and how effectively they can be used by their intended users. We pose two key research questions: (i) How does the tech industry conceive and market ""AI agents""? (ii) What challenges do end-users face when attempting to use commercial AI agents for their advertised uses? We first performed a systematic review of marketed use cases for 102 commercial AI agents, finding that they fall into three umbrella categories: orchestration, creation, and insight. We then evaluated whether end-users could realize these marketed capabilities in practice: we conducted a usability assessment where N = 31 participants attempted representative tasks for each of these categories on two popular commercial AI agent tools: Operator and Manus. We found that users were generally impressed with these agents but faced significant usability challenges ranging from agent capabilities that were misaligned with user mental models to agents lacking the meta-cognitive abilities necessary for effective collaboration.","['Pradyumna Shome', 'Sashreek Krishnan', 'Sauvik Das']",2025,2025-09-18T01:51:29+00:00,10.1145/3786335.3813140,http://arxiv.org/abs/2509.14528v2,https://arxiv.org/pdf/2509.14528v2,,,,,['cs.HC'],0.4673,['arxiv']
openalex,https://openalex.org/W4200045082,"AI in marketing, consumer research and psychology: A systematic literature review and research agenda","Abstract This study is the first to provide an integrated view on the body of knowledge of artificial intelligence (AI) published in the marketing, consumer research, and psychology literature. By leveraging a systematic literature review using a data‐driven approach and quantitative methodology (including bibliographic coupling), this study provides an overview of the emerging intellectual structure of AI research in the three bodies of literature examined. We identified eight topical clusters: (1) memory and computational logic; (2) decision making and cognitive processes; (3) neural networks; (4) machine learning and linguistic analysis; (5) social media and text mining; (6) social media content analytics; (7) technology acceptance and adoption; and (8) big data and robots. Furthermore, we identified a total of 412 theoretical lenses used in these studies with the most frequently used being: (1) the unified theory of acceptance and use of technology; (2) game theory; (3) theory of mind; (4) theory of planned behavior; (5) computational theories; (6) behavioral reasoning theory; (7) decision theories; and (8) evolutionary theory. Finally, we propose a research agenda to advance the scholarly debate on AI in the three literatures studied with an emphasis on cross‐fertilization of theories used across fields, and neglected research topics.","['Marcello M. Mariani', 'Rodrigo Perez‐Vega', 'Jochen Wirtz']",2021,2021-12-09,https://doi.org/10.1002/mar.21619,https://openalex.org/W4200045082,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mar.21619,Psychology and Marketing,Psychology and Marketing,561.0,201.0,"['Knowledge management', 'Social psychology', 'Operating system', 'Social media', 'Psychology', 'Artificial intelligence', 'World Wide Web', 'Data science', 'Economics', 'Neuroscience', 'Big data', 'Cognition', 'Consumer behaviour', 'Management science', 'Computer science', 'Cognitive science']",0.4672,['openalex']
arxiv,2402.09563v2,ABIDES-Economist: Agent-Based Simulator of Economic Systems with Learning Agents,"We present ABIDES-Economist, an agent-based simulator for economic systems that includes heterogeneous households, firms, a central bank, and a government. Agent behavior can be defined using domain-specific behavioral rules or learned through reinforcement learning by specifying their objectives. We integrate reinforcement learning capabilities for all agents using the OpenAI Gym environment framework for the multi-agent system. To enhance the realism of our model, we base agent parameters and action spaces on economic literature and real U.S. economic data. To tackle the challenges of calibrating heterogeneous agent-based economic models, we conduct a comprehensive survey of stylized facts related to both microeconomic and macroeconomic time series data. We then validate ABIDES-Economist by demonstrating its ability to generate simulated data that aligns with the relevant stylized facts for the economic scenario under consideration, following the learning of all agent behaviors via reinforcement learning. Specifically, we train our economic agents' policies under two broad configurations. The first configuration demonstrates that the learned economic agents produce system data consistent with macroeconomic and microeconomic stylized facts. The second configuration illustrates the utility of the validated simulation platform in designing regulatory policies for the central bank and government. These policies outperform standard rule-based approaches from the literature, which often overlook agent heterogeneity, shocks, and agent adaptability.","['Kshama Dwarakanath', 'Tucker Balch', 'Svitlana Vyetrenko']",2024,2024-02-14T20:26:52+00:00,,http://arxiv.org/abs/2402.09563v2,https://arxiv.org/pdf/2402.09563v2,,,,,"['cs.MA', 'econ.GN']",0.4639,['arxiv']
core,294058121,Decoding AI: Nine facts about how firms use artificial intelligence in France,"This study explores how French firms use artificial intelligence, leveraging a uniquely detailed and representative dataset with information on the use of specific AI technologies and how AI systems are deployed across different business functions within firms, in 2020 and 2022. The use of AI is still rare, amounting to 6% of firms, and varies by technology, with sectors often specialising in specific technologies and functions. While most firms specialise in a single AI technology applied to a single business function, larger firms adopt multiple technologies for different purposes. Firms adopting AI technologies are generally larger - except for those using natural language-related AI - and tend to be more digitally intensive, though firms leveraging NLG and autonomous movement AI deviate from this pattern. Firm size appears a relevant driver of AI use in business functions requiring integration with tangible processes, while digital capabilities appear particularly relevant for AI applications in business functions more related to intangible ones. AI technologies widely differ in terms of technological interdependencies and applicability, with machine learning for data analysis, automation and data-driven decision making-related AI technologies resulting as being at the core of the AI paradigm","['Calvino, Flavio', 'Fontanelli, Luca']",2025,2025-01-01T00:00:00+00:00,10.57838/sssa/wkj3-ct53,https://core.ac.uk/download/661374052.pdf,https://core.ac.uk/download/661374052.pdf,,,0.0,,doc-type:workingPaper,0.4635,
openalex,https://openalex.org/W4317748910,Artificial Intelligence Risk Management Framework (AI RMF 1.0),"As directed by the National Artificial Intelligence Initiative Act of 2020 (P.L. 116-283), the goal of the AI RMF is to offer a resource to the organizations designing, developing, deploying, or using AI systems to help manage the many risks of AI and promote trustworthy and responsible development and use of AI systems. The Framework is intended to be voluntary, rights-preserving, non-sector specific, and use-case agnostic, providing flexibility to organizations of all sizes and in all sectors and throughout society to implement the approaches in the Framework. The AI RMF is intended to be practical, to adapt to the AI landscape as AI technologies continue to develop, and to be operationalized by organizations in varying degrees and capacities so society can benefit from AI while also being protected from its potential harms.",['Elham Tabassi'],2023,2023-01-23,https://doi.org/10.6028/nist.ai.100-1,https://openalex.org/W4317748910,https://digital.library.unt.edu/ark:/67531/metadc2288718/m2/1/high_res_d/NIST.AI.100-1.pdf,,,721.0,0.0,"['Operationalization', 'Flexibility (engineering)', 'Trustworthiness', 'Artificial intelligence', 'Computer science', 'Resource (disambiguation)', 'Knowledge management', 'Computer security', 'Management', 'Economics', 'Epistemology', 'Philosophy', 'Computer network']",0.461,
core,320017707,Embedded Finance and Sustainable Business Models: Conceptualizing the Role of AI-Driven Automation in Reshaping Cross-Sector Value Creation and Programme Delivery,"This conceptual paper examines how embedded finance and AI-driven automation enable sustainable business models and cross-sector value creation. The authors investigated the capacity of the digital-first fintech services to break the traditional, centralized financial models of banking that introduced the financial products (payments and lending) into the non-financial platforms. This approach is particularly relevant for sustainable business models in sectors such as renewable energy and social enterprises  where access to capital was cumbersome in the past. The theoretical framework offered in the paper has AI playing the role of an accelerator through delivering real-time insights, dynamic risk management, and autonomous workflow to bridge the gap between financial inclusion and environmental, social, and governance (ESG) goals. It was also noted that AI-based systems saved as much as 60 percent of transaction costs and time wasted to deliver a service, which took days and some seconds with an automated data integration process. However, the paper identified a Strategic Frontier where the high-impact applications, such as alternative credit scoring of the unbanked, required a high level of ethical control to remove the threat of algorithmic bias. Lastly, the paper discovered that the paradigm shift from “banking as a destination” to “banking as a feature was a major source of organisational resiliency and an inclusive development.
","['Jonah, Chidinma', 'Warmate, Deborah', 'Ojo, Aniedi', 'Williams, Emurode']",2025,2025-12-13T00:00:00+00:00,,,,,,0.0,,info:eu-repo/semantics/article,0.4573,
openalex,https://openalex.org/W4403255812,AI-driven business analytics and decision making,"The rapid advancement of Artificial Intelligence (AI) and Machine Language (ML) has revolutionized business analytics, transforming the way organizations make decisions. This paper explores the integration of AI-driven technologies into business analytics to enhance decision-making across various industries. By leveraging predictive and prescriptive analytics, AI enables organizations to not only analyse historical data but also forecast future trends, allowing for more informed, proactive strategies. Machine learning plays a pivotal role in automating data-driven decisions, offering real-time insights that help businesses respond quickly to changing market dynamics. This automation significantly reduces manual intervention, increases efficiency, and enhances the accuracy of predictions. The paper further discusses the integration of AI with Business Intelligence (BI) tools to deliver deeper insights from complex datasets in real time. These insights empower companies to optimize enterprise resources, improve supply chain management, and drive operational excellence. Case studies from AI-driven analytics within Systems, Applications, and Products in Data Processing (SAP) environments highlight the practical applications of AI in real-world business contexts, demonstrating its impact on decision-making and overall performance. The paper concludes with best practices for implementing AI in business analytics, focusing on data quality, system integration, and workforce readiness to embrace AI-enabled decision-making frameworks. The findings underscore the potential of AI as a game-changer in modern business landscapes, fostering smarter, faster, and more effective decision-making processes.","['Oluwaseun Badmus', 'Shahab Anas Rajput', 'John Babatope Arogundade', 'M. Howard Williams']",2024,2024-10-09,https://doi.org/10.30574/wjarr.2024.24.1.3093,https://openalex.org/W4403255812,https://wjarr.com/sites/default/files/WJARR-2024-3093.pdf,World Journal of Advanced Research and Reviews,World Journal of Advanced Research and Reviews,83.0,0.0,"['Business analytics', 'Analytics', 'Business intelligence', 'Data science', 'Computer science', 'Business', 'Knowledge management', 'Business analysis', 'Business model', 'Marketing']",0.4544,
openalex,https://openalex.org/W4386568383,Implications of AI innovation on economic growth: a panel data study,"Abstract The application of artificial intelligence (AI) across firms and industries warrants a line of research focused on determining its overall effect on economic variables. As a general-purpose technology (GPT), for example, AI helps in the production, marketing, and customer acquisition of firms, increasing their productivity and consumer reach. Aside from these, other effects of AI include enhanced quality of services, improved work accuracy and efficiency, and increased customer satisfaction. Hence, this study aims to gauge the impact of AI on the economy, specifically on long-run economic growth. This study conjectures a positive relationship between AI and economic growth. To test this hypothesis, this study makes use of a panel dataset of countries from 1970 to 2019, and the number of AI patents as a measure of AI. A text search query is performed to distinguish AI patents from other types of innovations in a public database. Employing fixed effects and generalized method of moments (GMM) estimation, this paper finds a positive relationship between AI and economic growth, which is higher than the effect of the total population of patents on growth. Furthermore, other results indicate that AI’s influence on growth is more robust among advanced economies, and more evident towards the latter periods of the dataset.",['J. Gonzales'],2023,2023-09-09,https://doi.org/10.1186/s40008-023-00307-w,https://openalex.org/W4386568383,https://journalofeconomicstructures.springeropen.com/counter/pdf/10.1186/s40008-023-00307-w,Journal of Economic Structures,Journal of Economic Structures,118.0,64.0,"['Productivity', 'Panel data', 'Economics', 'Estimation', 'Quality (philosophy)', 'Test (biology)', 'Production (economics)', 'Econometrics', 'Microeconomics', 'Macroeconomics', 'Paleontology', 'Biology', 'Management', 'Philosophy', 'Epistemology']",0.4539,
openalex,https://openalex.org/W4317254367,"A systematic literature review of artificial intelligence in the healthcare sector: Benefits, challenges, methodologies, and functionalities","Administrative and medical processes of the healthcare organizations are rapidly changing because of the use of artificial intelligence (AI) systems. This change demonstrates the critical impact of AI at multiple activities, particularly in medical processes related to early detection and diagnosis. Previous studies suggest that AI can raise the quality of services in the healthcare industry. AI-based technologies have reported to improve human life quality, making life easier, safer and more productive. This study presents a systematic review of academic articles on the application of AI in the healthcare sector. The review initially considered 1,988 academic articles from major scholarly databases. After a careful review, the list was filtered down to 180 articles for full analysis to present a classification framework based on four dimensions: AI-enabled healthcare benefits, challenges, methodologies, and functionalities. It was identified that AI continues to significantly outperform humans in terms of accuracy, efficiency and timely execution of medical and related administrative processes. Benefits for patients’ map directly to the relevant AI functionalities in the categories of diagnosis, treatment, consultation and health monitoring for self-management of chronic conditions. Implications for future research directions are identified in the areas of value-added healthcare services for medical decision-making, security and privacy for patient data, health monitoring features, and creative IT service delivery models using AI.","['Omar Ali', 'Wiem Abdelbaki', 'Anup Shrestha', 'Ersin Elbaşı', 'Mohammad Abdallah Ali Alryalat', 'Yogesh K. Dwivedi']",2023,2023-01-01,https://doi.org/10.1016/j.jik.2023.100333,https://openalex.org/W4317254367,https://doi.org/10.1016/j.jik.2023.100333,Journal of Innovation & Knowledge,Journal of Innovation & Knowledge,529.0,257.0,"['Health care', 'Systematic review', 'Computer science', 'Management science', 'Engineering', 'MEDLINE', 'Political science', 'Economics', 'Economic growth', 'Law']",0.4519,
openalex,https://openalex.org/W4381848566,"Connecting the dots in trustworthy Artificial Intelligence: From AI principles, ethics, and key requirements to responsible AI systems and regulation","Trustworthy Artificial Intelligence (AI) is based on seven technical requirements sustained over three main pillars that should be met throughout the system’s entire life cycle: it should be (1) lawful, (2) ethical, and (3) robust, both from a technical and a social perspective. However, attaining truly trustworthy AI concerns a wider vision that comprises the trustworthiness of all processes and actors that are part of the system’s life cycle, and considers previous aspects from different lenses. A more holistic vision contemplates four essential axes: the global principles for ethical use and development of AI-based systems, a philosophical take on AI ethics, a risk-based approach to AI regulation, and the mentioned pillars and requirements. The seven requirements (human agency and oversight; robustness and safety; privacy and data governance; transparency; diversity, non-discrimination and fairness; societal and environmental wellbeing; and accountability) are analyzed from a triple perspective: What each requirement for trustworthy AI is, Why it is needed, and How each requirement can be implemented in practice. On the other hand, a practical approach to implement trustworthy AI systems allows defining the concept of responsibility of AI-based systems facing the law, through a given auditing process. Therefore, a responsible AI system is the resulting notion we introduce in this work, and a concept of utmost necessity that can be realized through auditing processes, subject to the challenges posed by the use of regulatory sandboxes. Our multidisciplinary vision of trustworthy AI culminates in a debate on the diverging views published lately about the future of AI. Our reflections in this matter conclude that regulation is a key for reaching a consensus among these views, and that trustworthy and responsible AI systems will be crucial for the present and future of our society.","['Natalia Díaz-Rodríguez', 'Javier Del Ser', 'Mark Coeckelbergh', 'Marcos López de Prado', 'Enrique Herrera‐Viedma', 'Francisco Herrera']",2023,2023-06-24,https://doi.org/10.1016/j.inffus.2023.101896,https://openalex.org/W4381848566,https://doi.org/10.1016/j.inffus.2023.101896,Information Fusion,Information Fusion,680.0,132.0,"['Computer security', 'Engineering ethics', 'Engineering', 'Artificial intelligence', 'Trustworthiness', 'Key (lock)', 'Computer science']",0.4452,['openalex']
core,276155497,AI-Driven Predictive Modeling of US Economic Trends: Insights and Innovations,"While traditional economic forecasting models have significantly improved, a few significant obstacles must be overcome. Conventional methods include time series and econometric models, which may rely hugely on historical data and are underlain by linear assumptions. These models fail to handle sudden shifts in the market or unseen economic events, like the financial crisis of 2008 or the COVID-19 pandemic 2020. Traditional models also need help bottling the vast amounts of unstructured data available today: articles, social posts, and other real-time information streams that influence economic sentiment. The chief objective of this research project is to explore the efficacy of AI-driven predictive modeling in forecasting US economic trends. This research project involved a time series analysis of three key financial indicators: Most notably, the Consumer Price Index (CPIAUCSL), the Gross Domestic Product (GDP), and the Unemployment Rate (UNRATE). Datasets entailed the Consumer Price Index for All Urban Consumers (CPI) from 1950 to the present, GDP: U.S. Gross Domestic Product (GDP) quarterly, and UNRATE: US Unemployment Rate (UNRATE) from 1950 to the present. These datasets provided valuable insights into the US economy, and this analysis aims to explore trends, seasonality, and relationships between these variables over time. One of the most immediate benefits for policymakers and the U.S. government is the significant improvement in the accuracy and timeliness of economic forecasts enabled by AI-driven models such as the ARIMA and SARIMAX. Another vital implication of AI-driven economic forecasting is improving policy formulation based on more sophisticated scenario analysis and simulations. AI-driven forecasting facilitates more targeted and proactive policy intervention, which is helpful in such sector-specific issues or regional disparities in economic performance","['Md Fakhrul Islam Sumon', 'Md Rafiqul Islam', 'MD Azam Khan', 'Pravakar Debnath', 'Mohammed Nazmul Islam Miah', 'Reza E Rabbi Shawon', 'Arifur Rahman']",2024,2024-10-04T01:00:00+01:00,10.32996/jhsss.2024.6.10.1,https://core.ac.uk/download/620622099.pdf,https://core.ac.uk/download/620622099.pdf,,,0.0,,info:eu-repo/semantics/article,0.4426,
core,313403232,"The algorithmic management of job loss and creation in the enterprise generative, multimodal, and agentic artificial intelligence economy","Research background: Enterprise generative, multimodal, and agentic artificial intelligence (AI) technologies facilitate transformative productivity and workforce adaptation gains in innovative organizations, redesigns autonomous team and talent management for workforce and job rotation planning, skill development, and career paths, handle context-specific collaborative business processes, workflows, and decision-making, and augment multi-agent system scaling for labor productivity and operational efficiency, redefining agile and adaptive organizational performance in dynamic business environments, driving interoperable big employee data and strategic decision management, and creating strategic fluidity and synchronized digital labor for sustainable business value. Connected and interoperable agentic AI systems can carry out multistep tasks autonomously, reduce operational costs and unemployment rates, and manage big data-based organizational workflows and management pipelines, driving business value creation and productivity gains, reallocating digital labor, and redefining employee experiences and labor markets in terms of job loss and creation by upskilling and retraining. AI labor impacts predictions are based on multimodal data and labor force productivity modeling in relation to how job and skill creation can affect economic conditions and workforce development, while driving business model transformation.
Purpose of the article: We aim to clarify whether enterprise generative, multimodal, and agentic AI-based task automation and machine performance complements technology-driven employment changes and algorithmic efficiency, resulting in workforce reduction and competitive pressures due to economic incentives in terms of how i) deep reinforcement learning algorithms can build digital agentic workflows for autonomous Internet of Things (IoT) sensor-based industrial robotic machines, leading to employment relation, personnel retention and recruitment, work reorganization, and labor productivity optimization, engaged productive staff flexibility and autonomy, and job performance and satisfaction, ii) how task automation and augmentation disrupt labor markets and reshape workforce for either more layoffs or more new hires, predicting both increased or lower wages, high or decreased unemployment, and job creation or elimination, and iii) how computer vision-based task automation and augmentation technologies redesign business-critical workflows and workforce upskilling processes across collaborative enterprise IoT and sluggish hiring environments for task automation and augmentation, streamlining personalized human resource support, resource efficiency, and enterprise productivity, driving economic growth.
Methods: A quantitative literature review of ProQuest, Scopus, and the Web of Science databases was carried out and the most relevant research published between 2024 and 2025 was identified and analyzed. The Preferred Reporting Items for Systematic Reviews and Meta-analysis (PRISMA) and the web-based Shiny app were harnessed for search results and screening. Dimensions (for bibliometric mapping) and VOSviewer (for layout algorithms) were the deployed data visualization tools. Evidence synthesis screening software and reference and review management tools leveraged included AMSTAR, CADIMA, DistillerSR, JBI SUMARI, MMAT, Nested Knowledge, PICO Portal, and SRDR+.
Findings &amp; value added: The main value added derived from the systematic literature review is that enterprise generative, multimodal, and agentic AI system applicability correlates with occupational task operation completion, wage, employment prospects, and education, driving business choices and transformation, labor markets, and economic growth. The benefits for theory and current state of the art are that enterprise generative, multimodal, and agentic AI-based flexible work arrangements and increased employee tracking for organizational and workforce performance can improve job quality while reducing pay inequity, staff absenteeism, job turnover, and widespread unemployment, affecting labor markets and resulting in long-term business values and outcomes. Occupational AI and computer vision technologies impact predictions with regard to work activity automation and augmentation in terms of job loss, labor productivity, and wage raising or lowering. Policy implications reveal that employee productivity and performance tools entail job displacement and creation, requiring emerging workforce reskilling or upskilling for talent attraction, retention, progression, and promotion across structural labor market transformation","['Grecu, Gheorghe', 'Lazaroiu, George', 'Pârvu, Iuliana', 'Chiru, Claudiu', 'Grecu, Iulia', 'Fernando, Xavier', 'Herciu, Mihaela', 'Guni, Claudia', 'Gedeon, Tom']",2025,2025-12-30T00:00:00+00:00,10.24136/oc.3994,https://core.ac.uk/download/695084130.pdf,https://core.ac.uk/download/695084130.pdf,,,0.0,,info:eu-repo/semantics/article,0.4389,
openalex,https://openalex.org/W4412505619,"AI Agents vs. Agentic AI: A Conceptual Taxonomy, Applications and Challenges","This review critically distinguishes between AI Agents and Agentic AI, offering a structured, conceptual taxonomy, application mapping, and analysis of opportunities and challenges to clarify their divergent design philosophies and capabilities. We begin by outlining the search strategy and foundational definitions, characterizing AI Agents as modular systems driven and enabled by LLMs and LIMs for taskspecific automation. Generative AI is positioned as a precursor providing the foundation, with AI agents advancing through tool integration, prompt engineering, and reasoning enhancements. We then characterize Agentic AI systems, which, in contrast to AI Agents, represent a paradigm shift marked by multi-agent collaboration, dynamic task decomposition, persistent memory, and coordinated autonomy. Through a chronological evaluation of architectural evolution, operational mechanisms, interaction styles, and autonomy levels, we present a comparative analysis across both AI agents and agentic AI paradigms. Application domains enabled by AI Agents such as customer support, scheduling, and data summarization are then contrasted with Agentic AI deployments in research automation, robotic coordination, and medical decision support. We further examine unique challenges in each paradigm including hallucination, brittleness, emergent behavior, and coordination failure, and propose targeted solutions such as ReAct loops, retrieval-augmented generation (RAG), automation coordination layers, and causal modeling. This work aims to provide a roadmap for developing robust, scalable, and explainable AI-driven systems.","['Ranjan Sapkota', 'Konstantinos I. Roumeliotis', 'Manoj Karkee']",2025,2025-07-20,https://doi.org/10.70777/si.v2i3.15161,https://openalex.org/W4412505619,https://s-rsa.com/index.php/agi/article/download/15161/11079,SuperIntelligence - Robotics - Safety & Alignment,SuperIntelligence - Robotics - Safety & Alignment,145.0,0.0,"['Taxonomy (biology)', 'Cognitive science', 'Psychology', 'Data science', 'Computer science', 'Epistemology', 'Philosophy', 'Biology', 'Ecology']",0.4386,
arxiv,2601.22079v1,The Economics of No-regret Learning Algorithms,"A fundamental challenge for modern economics is to understand what happens when actors in an economy are replaced with algorithms. Like rationality has enabled understanding of outcomes of classical economic actors, no-regret can enable the understanding of outcomes of algorithmic actors. This review article covers the classical computer science literature on no-regret algorithms to provide a foundation for an overview of the latest economics research on no-regret algorithms, focusing on the emerging topics of manipulation, statistical inference, and algorithmic collusion.",['Jason Hartline'],2026,2026-01-29T18:19:22+00:00,,http://arxiv.org/abs/2601.22079v1,https://arxiv.org/pdf/2601.22079v1,,,,,"['econ.TH', 'cs.GT']",0.4352,
